id,titre,date,popularite,note,synopsis,budget,revenu,duree,genres,langue_originale,site_officiel,poster_url,backdrop_url,genre_principal
533533,Tron : Ares,2025-10-08,413.6393,6.546,"Julian, directeur de Dillinger System, a créé avec l’IA Arès un supersoldat humanoïde sans sensations, version vivante de son programme de sécurité. Mais ce prototype 3D se désintègre après 30 minutes. Eve Kim, programmeuse et PDG de la firme rivale Encom, découvre dans les archives du fondateur Kevin Flynn un code capable de rendre permanent tout élément généré par l’IA. Sur ordre de Julian, Arès passe dans le monde réel pour s’en emparer. Mais au contact d’Ève, qui œuvre à des projets écologiques et médicaux en mémoire de sa sœur, l’entité apprend la compassion et trahit son patron. Furieux, celui-ci lance à ses trousses Athéna, sa plus redoutable soldate virtuelle.",220000000,142073994,119,"Science-Fiction, Aventure, Action",en,"",https://image.tmdb.org/t/p/w500/szi21Cz6bAPQ47QER5iSCkP6JWI.jpg,https://image.tmdb.org/t/p/w1280/min9ZUDZbiguTiQ7yz1Hbqk78HT.jpg,Action
1180831,Troll 2,2025-11-30,396.8843,6.786,"Lorsqu'un nouveau troll sème la dévastation dans le pays, Nora, Andreas et le major Kris se lancent dans la plus périlleuse des missions.",11200000,0,105,"Action, Fantastique, Thriller",no,https://www.netflix.com/fr/title/81667085,https://image.tmdb.org/t/p/w500/5s33v65FEzVtt9X6G5EuHP9dbwx.jpg,https://image.tmdb.org/t/p/w1280/lZYMXx74pWmbj5Q5jp1QaMvmuuR.jpg,Action
1083637,Kantara A Legend: Chapter 1,2025-10-01,291.7783,6.957,"À l’époque de la puissante dynastie Kadamba, se révèle l’origine de Kaadubettu Shiva. Le récit nous entraîne dans une nature indomptée, entre mythes enfouis et légendes oubliées, pour dévoiler les mystères de son passé.",14000000,91000000,165,"Action, Drame, Fantastique",kn,"",https://image.tmdb.org/t/p/w500/ehQPboTPaIMkMUOoNOh8e7pZ5Rp.jpg,https://image.tmdb.org/t/p/w1280/w57nxiBIODAYHLRs1xmrCY9zEFe.jpg,Action
23527,First Squad - Le Moment de Vérité,2009-05-13,304.6855,6.2,"Sur le front de l'Est, le conflit perdure entre les armées allemandes et soviétiques, contraintes à une guerre de position pendant l'hiver. Parallèlement à ce combat, une autre bataille se joue à coup de pouvoirs occultes: Du côté des SS, l'Ahnenerbe se lance dans la résurrection du baron von Wolff, un chevalier tué en Russie, il y a 700 ans avec ses hommes. Le renfort d'une armée de morts vivants devrait faire basculer la balance du côté allemand.Pour contrer ce plan, la section 6 des services secrets soviétiques compte sur sa pièce maîtresse, Nadia, une jeune fille dotée de pouvoirs paranormaux. Envoyée sur le front, sous couverture, Nadia est cependant victime d'une attaque aérienne, qui la laisse amnésique et coupée de sa base. Elle est en plus pourchassée par des tueuses de l'Ahnenerbe , qui cherche à éliminer tous les membres de la section 6.",0,0,72,"Fantastique, Animation, Action, Science-Fiction",ru,"",https://image.tmdb.org/t/p/w500/lgylqeZP6pFQQmH7M9AwyoLhfoJ.jpg,https://image.tmdb.org/t/p/w1280/3k1PKmzNEosWFaOR1yC9ZKIYqmm.jpg,Action
1448560,Wildcat,2025-11-19,175.028,5.957,Une ancienne équipe d'opérations spéciales se réunit pour réaliser un braquage afin de sauver la vie de la fille de leur chef.,50000,0,99,"Action, Thriller, Crime",en,"",https://image.tmdb.org/t/p/w500/h893ImjM6Fsv5DFhKJdlZFZIJno.jpg,https://image.tmdb.org/t/p/w1280/pAyImoslSnpMgjRwhaS5ZEdl8UI.jpg,Action
1033462,749 Bureau,2024-10-01,170.4995,6.1,L’histoire d’un jeune homme qui est entraîné dans un mystérieux bureau de lutte contre le crime au moment même où une catastrophe est déclenchée par des créatures inconnues se propageant à travers le monde.,0,51706251,123,"Action, Aventure, Science-Fiction",zh,"",https://image.tmdb.org/t/p/w500/xW640PVBXLlzhrkQnAcvWNsehIO.jpg,https://image.tmdb.org/t/p/w1280/lf8IZ86ajGpgbuyHCZrXUeAMmvy.jpg,Action
1242898,Predator: Badlands,2025-11-05,171.1816,7.351,"Dans le futur sur une planète lointaine, un jeune Predator, exclu de son clan, trouve une alliée improbable en la personne de Thia et entreprend un voyage en territoire hostile, à la recherche de l'adversaire ultime.",105000000,180062621,107,"Action, Science-Fiction, Aventure",en,"",https://image.tmdb.org/t/p/w500/empQGO0pCVTndCpihyVpNfaLebl.jpg,https://image.tmdb.org/t/p/w1280/ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg,Action
1419406,The Shadow's Edge,2025-08-16,162.7002,6.503,"Un mystérieux mafieux et ses 7 fils adoptifs manipulent et ridiculisent la police en piratant le système de surveillance ultramoderne de la ville, dans le but de récupérer une fortune en crypto-monnaie. La police devenue impuissante doit faire appel à un ancien expert qui va s’associer avec une jeune policière à laquelle il est lié par un secret qu’elle ignore. Une partie d’échec commence alors, où les cerveaux et la loyauté seront mis à l’épreuve.",0,174400000,141,"Action, Crime, Thriller",zh,https://www.heylightpictures.com/the-shadows-edge,https://image.tmdb.org/t/p/w500/t1PFVsGYdUHtPv0Xowoc9b4PAap.jpg,https://image.tmdb.org/t/p/w1280/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,Action
1218925,Chainsaw Man – Le Film : L'arc de Reze,2025-09-19,162.7166,7.95,"Après avoir mit hors d'état de nuire Katana Man, Denji se demande avec l'agitation de sa vie s'il a toujours un cœur. Il va faire la rencontre de Reze, une jeune femme qui semble s'intéresser à lui. Leur relation s'épanouit jusqu'à ce que la vraie nature de Reze se révèle. Il va livrer un combat périlleux guidé par l'amour mais qui sera explosif.",4100000,168300000,100,"Animation, Action, Romance, Fantastique",ja,https://chainsawman.movie/,https://image.tmdb.org/t/p/w500/cHcG6wXRPjIbeUqydKdG7r0oMmc.jpg,https://image.tmdb.org/t/p/w1280/kfXgo2rMF1A19celCwLyQ4Xwpf8.jpg,Action
949709,High Forces,2024-09-29,143.8718,5.889,"Gao Haojun, un expert en sécurité internationale, est détourné par des hommes armés lors du premier vol de l'avion de ligne A380, et sa fille aveugle est l'une des otages sous couverture, un fait qu'il ne sait pas.",0,41923655,120,"Action, Crime",zh,"",https://image.tmdb.org/t/p/w500/b8xNJ39aOtEk3I7MFt8XJuN2bGS.jpg,https://image.tmdb.org/t/p/w1280/8lqfrOBQ2EcY7znD3LxTYcvlh25.jpg,Action
